# Fatores de retencao (SPEC §10, ADR-0007/0018). Fonte: USDA Table of
# Nutrient Retention Factors Release 6 (2007), CC0 1.0,
# DOI 10.15482/USDA.ADC/1409034. Fonte primaria: retn06.txt (ASCII caret-delimited),
# SHA-256 5B71867F6649E801DB3BF88C6CD1887B0673E853D4BA94AA0AF2B3C091E983F9.
# Gerado por scripts/build_retention_factors.py — nao editar a mao.
# Politica: mediana por (nutriente, metodo); espaco min-max na evidencia;
# referencia integral em usda_r6_reference.csv.
nutrient,cooking_method,retention_factor,evidence
NIA,stewed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 90% max 90%
P,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 65% max 100%
P,boiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 70% max 100%
P,braised,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 65% max 100%
P,broiled,0.925,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 75% max 100%
P,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
P,cooked,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
P,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 75% max 100%
P,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
P,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
P,roasted,0.825,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 80% max 85%
P,simmered,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 65% max 100%
P,steamed,0.875,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 100%
P,stewed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 100% max 100%
